"행정구역별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(1)",주지표,주지표,주지표,보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),주지표,주지표,주지표,보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),주지표,주지표,주지표,보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),주지표,주지표,주지표,보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),주지표,주지표,주지표,보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표1(청년기본법 상 청년인구),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율),보조지표2(여성청년인구비율)
"행정구역별(1)",청년인구비율(19~39세) (%),청년인구(19~39세) (명),전체인구 (명),청년인구비율(19~34세) (%),청년인구(19~34세) (명),전체인구 (명),청년여성비율(19~39세) (%),청년여성인구(19~39세) (명),전체인구 (명),청년인구비율(19~39세) (%),청년인구(19~39세) (명),전체인구 (명),청년인구비율(19~34세) (%),청년인구(19~34세) (명),전체인구 (명),청년여성비율(19~39세) (%),청년여성인구(19~39세) (명),전체인구 (명),청년인구비율(19~39세) (%),청년인구(19~39세) (명),전체인구 (명),청년인구비율(19~34세) (%),청년인구(19~34세) (명),전체인구 (명),청년여성비율(19~39세) (%),청년여성인구(19~39세) (명),전체인구 (명),청년인구비율(19~39세) (%),청년인구(19~39세) (명),전체인구 (명),청년인구비율(19~34세) (%),청년인구(19~34세) (명),전체인구 (명),청년여성비율(19~39세) (%),청년여성인구(19~39세) (명),전체인구 (명),청년인구비율(19~39세) (%),청년인구(19~39세) (명),전체인구 (명),청년인구비율(19~34세) (%),청년인구(19~34세) (명),전체인구 (명),청년여성비율(19~39세) (%),청년여성인구(19~39세) (명),전체인구 (명)
"전국",28.9,14969359,51779203,21.2,10969615,51779203,13.7,7076676,51779203,28.4,14716881,51829136,21.1,10911411,51829136,13.5,6981872,51829136,27.7,14343752,51738071,20.7,10721405,51738071,13.2,6809384,51738071,27.2,14039981,51692272,20.5,10602617,51692272,12.9,6644574,51692272,26.8,13875399,51774521,20.4,10541492,51774521,12.6,6534466,51774521
"서울특별시",32.4,3126914,9639541,24.4,2348076,9639541,16.5,1587991,9639541,32.2,3083919,9586195,24.4,2338802,9586195,16.4,1575508,9586195,31.7,3005539,9472127,24.3,2298838,9472127,16.3,1542502,9472127,31.4,2958184,9417469,24.3,2284941,9417469,16.2,1525281,9417469,31.2,2931861,9384512,24.3,2277364,9384512,16.2,1515891,9384512
"부산광역시",27.6,930199,3372692,20.4,687235,3372692,13.2,445483,3372692,26.9,901402,3349016,20.1,674340,3349016,13.0,433836,3349016,26.3,872794,3324335,19.9,660678,3324335,12.7,420612,3324335,25.6,842822,3295760,19.5,644077,3295760,12.3,405951,3295760,25.1,823314,3279604,19.3,633070,3279604,12.1,396016,3279604
"대구광역시",27.7,673072,2429940,20.6,500339,2429940,13.0,316346,2429940,27.2,656333,2410700,20.6,495545,2410700,12.8,309620,2410700,26.6,634839,2387911,20.3,484150,2387911,12.5,299038,2387911,25.9,613331,2366852,19.9,471627,2366852,12.2,288061,2366852,25.3,600884,2379188,19.5,463817,2379188,11.8,281268,2379188
"인천광역시",29.6,874356,2952237,21.5,634801,2952237,14.1,414991,2952237,29.0,853655,2945454,21.3,627912,2945454,13.8,406921,2945454,28.3,836456,2957044,21.0,619512,2957044,13.5,398462,2957044,27.8,830502,2989125,20.8,620464,2989125,13.2,394282,2989125,27.3,825978,3025950,20.4,617475,3025950,12.9,390794,3025950
"광주광역시",29.9,445955,1489730,22.3,332594,1489730,14.5,215469,1489730,29.3,432636,1477573,22.1,326416,1477573,14.1,208688,1477573,28.9,426014,1475262,22.1,325701,1475262,14.0,205970,1475262,28.3,416243,1468972,22.0,322852,1468972,13.7,200970,1468972,27.7,403570,1457090,21.7,315907,1457090,13.3,193907,1457090
"대전광역시",31.0,464279,1498839,23.6,354146,1498839,14.7,219963,1498839,30.6,455938,1488435,23.7,352475,1488435,14.5,216538,1488435,30.2,446971,1479740,23.6,349460,1479740,14.3,211412,1479740,29.8,439157,1473662,23.5,346859,1473662,14.1,207552,1473662,29.5,434126,1470336,23.4,344757,1470336,13.9,204500,1470336
